Data R1_x,Data R1_y,Fit R1 (k=1.91)_x,Fit R1 (k=1.91)_y,Data R2_x,Data R2_y,Fit R2 (k=1.71)_x,Fit R2 (k=1.71)_y,Data R3_x,Data R3_y,Fit R3 (k=1.73)_x,Fit R3 (k=1.73)_y,Data R4_x,Data R4_y,Fit R4 (k=1.75)_x,Fit R4 (k=1.75)_y,Data R5_x,Data R5_y,Fit R5 (k=1.83)_x,Fit R5 (k=1.83)_y
,,41.2121212121,1.6724644089,,,41.2121212121,0.1278422398,,,41.2121212121,2.6201348279,,,41.2121212121,2.8552435032,,,41.2121212121,0.4127262307
,,41.7171717172,1.7118800485,,,41.7171717172,0.1305377777,,,41.7171717172,2.6758086289,,,41.7171717172,2.9166829028,,,41.7171717172,0.4220297676
,,42.2222222222,1.7517334986,,,42.2222222222,0.1332566861,,,42.2222222222,2.7319740672,,,42.2222222222,2.9786811201,,,42.2222222222,0.4314272740
,,42.7272727273,1.7920242978,,,42.7272727273,0.1359988845,,,42.7272727273,2.7886295257,,,42.7272727273,3.0412364622,,,42.7272727273,0.4409185582
,,43.2323232323,1.8327519911,,,43.2323232323,0.1387642935,,,43.2323232323,2.8457734113,,,43.2323232323,3.1043472612,,,43.2323232323,0.4505034308
,,43.7373737374,1.8739161288,,,43.7373737374,0.1415528349,,,43.7373737374,2.9034041553,,,43.7373737374,3.1680118739,,,43.7373737374,0.4601817052
,,44.2424242424,1.9155162672,,,44.2424242424,0.1443644319,,,44.2424242424,2.9615202117,,,44.2424242424,3.2322286809,,,44.2424242424,0.4699531973
,,44.7474747475,1.9575519682,,,44.7474747475,0.1471990085,,,44.7474747475,3.0201200573,,,44.7474747475,3.2969960861,,,44.7474747475,0.4798177253
,,45.2525252525,2.0000227988,,,45.2525252525,0.1500564901,,,45.2525252525,3.0792021909,,,45.2525252525,3.3623125158,,,45.2525252525,0.4897751100
,,45.7575757576,2.0429283315,,,45.7575757576,0.1529368029,,,45.7575757576,3.1387651326,,,45.7575757576,3.4281764188,,,45.7575757576,0.4998251745
,,46.2626262626,2.0862681439,,,46.2626262626,0.1558398745,,,46.2626262626,3.1988074235,,,46.2626262626,3.494586265,,,46.2626262626,0.5099677443
,,46.7676767677,2.1300418186,,,46.7676767677,0.1587656332,,,46.7676767677,3.2593276250,,,46.7676767677,3.5615405456,,,46.7676767677,0.5202026469
,,47.2727272727,2.1742489433,,,47.2727272727,0.1617140084,,,47.2727272727,3.3203243185,,,47.2727272727,3.6290377721,,,47.2727272727,0.5305297121
,,47.7777777778,2.2188891104,,,47.7777777778,0.1646849305,,,47.7777777778,3.3817961046,,,47.7777777778,3.6970764763,,,47.7777777778,0.5409487719
,,48.2828282828,2.2639619168,,,48.2828282828,0.167678331,,,48.2828282828,3.443741603,,,48.2828282828,3.7656552091,,,48.2828282828,0.5514596605
,,48.7878787879,2.3094669644,,,48.7878787879,0.170694142,,,48.7878787879,3.5061594516,,,48.7878787879,3.8347725406,,,48.7878787879,0.5620622137
,,49.2929292929,2.3554038594,,,49.2929292929,0.1737322967,,,49.2929292929,3.5690483067,,,49.2929292929,3.9044270598,,,49.2929292929,0.5727562698
,,49.797979798,2.4017722123,,,49.797979798,0.1767927292,,,49.797979798,3.6324068418,,,49.797979798,3.9746173734,,,49.797979798,0.5835416687
