Data R1_x,Data R1_y,Fit R1 (k=1.91)_x,Fit R1 (k=1.91)_y,Data R2_x,Data R2_y,Fit R2 (k=1.71)_x,Fit R2 (k=1.71)_y,Data R3_x,Data R3_y,Fit R3 (k=1.73)_x,Fit R3 (k=1.73)_y,Data R4_x,Data R4_y,Fit R4 (k=1.75)_x,Fit R4 (k=1.75)_y,Data R5_x,Data R5_y,Fit R5 (k=1.80)_x,Fit R5 (k=1.80)_y
,,39.1919191919,1.5191893970,,,39.1919191919,0.1172954496,,,39.1919191919,2.3863001938,,,39.1919191919,2.6092197841,,,39.1919191919,0.3767729448
,,39.696969697,1.5568490578,,,39.696969697,0.1198966740,,,39.696969697,2.4398175495,,,39.696969697,2.6682954808,,,39.696969697,0.3855505967
,,40.2020202020,1.5949484367,,,40.2020202020,0.1225216042,,,40.2020202020,2.4938357623,,,40.2020202020,2.7279364674,,,40.2020202020,0.3944178878
,,40.7070707071,1.6334870471,,,40.7070707071,0.1251701543,,,40.7070707071,2.5483531389,,,40.7070707071,2.7881409496,,,40.7070707071,0.4033745899
,,41.2121212121,1.6724644089,,,41.2121212121,0.1278422398,,,41.2121212121,2.6033680131,,,41.2121212121,2.8489071611,,,41.2121212121,0.4124204787
,,41.7171717172,1.7118800485,,,41.7171717172,0.1305377777,,,41.7171717172,2.6588787443,,,41.7171717172,2.9102333627,,,41.7171717172,0.4215553328
,,42.2222222222,1.7517334986,,,42.2222222222,0.1332566861,,,42.2222222222,2.7148837177,,,42.2222222222,2.9721178416,,,42.2222222222,0.4307789343
,,42.7272727273,1.7920242978,,,42.7272727273,0.1359988845,,,42.7272727273,2.7713813426,,,42.7272727273,3.0345589109,,,42.7272727273,0.4400910684
,,43.2323232323,1.8327519911,,,43.2323232323,0.1387642935,,,43.2323232323,2.8283700527,,,43.2323232323,3.0975549089,,,43.2323232323,0.4494915232
,,43.7373737374,1.8739161288,,,43.7373737374,0.1415528349,,,43.7373737374,2.8858483047,,,43.7373737374,3.1611041979,,,43.7373737374,0.45898009
,,44.2424242424,1.9155162672,,,44.2424242424,0.1443644319,,,44.2424242424,2.9438145780,,,44.2424242424,3.2252051643,,,44.2424242424,0.4685565628
,,44.7474747475,1.9575519682,,,44.7474747475,0.1471990085,,,44.7474747475,3.0022673743,,,44.7474747475,3.2898562175,,,44.7474747475,0.4782207387
,,45.2525252525,2.0000227988,,,45.2525252525,0.1500564901,,,45.2525252525,3.0612052166,,,45.2525252525,3.3550557896,,,45.2525252525,0.4879724174
,,45.7575757576,2.0429283315,,,45.7575757576,0.1529368029,,,45.7575757576,3.1206266490,,,45.7575757576,3.4208023346,,,45.7575757576,0.4978114013
,,46.2626262626,2.0862681439,,,46.2626262626,0.1558398745,,,46.2626262626,3.1805302362,,,46.2626262626,3.4870943278,,,46.2626262626,0.5077374955
,,46.7676767677,2.1300418186,,,46.7676767677,0.1587656332,,,46.7676767677,3.2409145625,,,46.7676767677,3.5539302658,,,46.7676767677,0.5177505075
,,47.2727272727,2.1742489433,,,47.2727272727,0.1617140084,,,47.2727272727,3.3017782320,,,47.2727272727,3.6213086652,,,47.2727272727,0.5278502475
,,47.7777777778,2.2188891104,,,47.7777777778,0.1646849305,,,47.7777777778,3.3631198676,,,47.7777777778,3.6892280628,,,47.7777777778,0.5380365281
,,48.2828282828,2.2639619168,,,48.2828282828,0.167678331,,,48.2828282828,3.4249381107,,,48.2828282828,3.7576870147,,,48.2828282828,0.5483091643
,,48.7878787879,2.3094669644,,,48.7878787879,0.170694142,,,48.7878787879,3.487231621,,,48.7878787879,3.8266840959,,,48.7878787879,0.5586679732
,,49.2929292929,2.3554038594,,,49.2929292929,0.1737322967,,,49.2929292929,3.5499990756,,,49.2929292929,3.8962179002,,,49.2929292929,0.5691127746
,,49.797979798,2.4017722123,,,49.797979798,0.1767927292,,,49.797979798,3.613239169,,,49.797979798,3.9662870392,,,49.797979798,0.5796433903
,,50.3030303030,2.4485716381,,,50.3030303030,0.1798753745,,,50.3030303030,3.6769506125,,,50.3030303030,4.0368901424,,,50.3030303030,0.5902596442
,,50.8080808081,2.495801756,,,50.8080808081,0.1829801683,,,50.8080808081,3.7411321339,,,50.8080808081,4.1080258564,,,50.8080808081,0.6009613624
,,51.3131313131,2.5434621892,,,51.3131313131,0.1861070472,,,51.3131313131,3.8057824771,,,51.3131313131,4.179692845,,,51.3131313131,0.6117483732
,,51.8181818182,2.5915525652,,,51.8181818182,0.1892559486,,,51.8181818182,3.8709004017,,,51.8181818182,4.2518897882,,,51.8181818182,0.6226205069
,,52.3232323232,2.6400725152,,,52.3232323232,0.1924268107,,,52.3232323232,3.9364846827,,,52.3232323232,4.3246153823,,,52.3232323232,0.6335775956
,,52.8282828283,2.6890216744,,,52.8282828283,0.1956195725,,,52.8282828283,4.0025341101,,,52.8282828283,4.3978683394,,,52.8282828283,0.6446194736
,,53.3333333333,2.7383996818,,,53.3333333333,0.1988341736,,,53.3333333333,4.0690474887,,,53.3333333333,4.4716473872,,,53.3333333333,0.6557459769
