Energy (eV),Absorption (OD),EA 20 kV/cm (mOD),EA 30 kV/cm (mOD),EA 40 kV/cm (mOD),EA 50 kV/cm (mOD),EA 60 kV/cm (mOD),EA 70 kV/cm (mOD),EA 80 kV/cm (mOD)
2.7924367792792792,0.2182330986527287,-2.648356517004007,-5.447916227233342,-9.399546403477167,-13.240288250216931,-17.995574027645514,-22.19283607176157,-26.73756950082548
2.7861616404494383,0.19930342929767358,-2.0469820410332322,-4.272686270940515,-7.580442801672817,-10.935680815947869,-15.198552265072355,-19.237188905390724,-23.629819100140313
2.7799146412556053,0.18691495969399471,-1.411307897786436,-3.009960902093401,-5.510050267388655,-8.13209033456332,-11.62097491492287,-15.149658696400511,-18.963574046494266
2.7736955928411633,0.175509712781762,-0.9295227863028088,-2.0204416303765775,-3.767946076014875,-5.67222234985143,-8.318876286317352,-11.098905714779999,-14.165818093876506
2.7675043080357145,0.16810650935111385,-0.5898271769477972,-1.3108516577687896,-2.4778370186457876,-3.773607939601763,-5.641145125404804,-7.6337650722099895,-9.88544643949149
2.761340601336303,0.16741819401815403,-0.4259494804570883,-0.9468458970559847,-1.8074488129183404,-2.7642278738555444,-4.169121411324846,-5.667677373102,-7.4167052135731515
2.755204288888889,0.16528799159931032,-0.3358263017441886,-0.7281312652311221,-1.389381010162102,-2.1260466082906513,-3.2124555522601517,-4.3819076418207,-5.746199136528605
2.7490951884700667,0.16417391797095768,-0.24180362454843596,-0.5457455854845665,-1.0356020214905548,-1.5833049092831717,-2.39723772767975,-3.266979308254132,-4.3052633704871015
2.7430131194690266,0.16509605528368143,-0.1872449382622604,-0.43059880054243194,-0.8206703906486346,-1.25195343997166,-1.8969656806298236,-2.584963530465856,-3.406602610010564
2.7369579028697575,0.16557260307449292,-0.15439590147732093,-0.3352377378834693,-0.6509210421491363,-0.9872883162413478,-1.5010712544634284,-2.0447920244642557,-2.6873678021933376
2.73092936123348,0.1668324574849524,-0.12480494091449777,-0.2687196821187469,-0.517311247123218,-0.7820149377654638,-1.1925705630581092,-1.6253921387398929,-2.1146209187283342
2.7249273186813188,0.16697689002231642,-0.1013877661738562,-0.21067770681061881,-0.4192362205168246,-0.6433107677718298,-0.9648101550722292,-1.3204157003836798,-1.7049036694465092
2.718951600877193,0.1705245263365104,-0.08448650529441633,-0.18222876531506843,-0.34471985079221257,-0.5304797675878777,-0.8010634914573648,-1.0943641080176094,-1.4073839644998223
2.713002035010941,0.1712832418269873,-0.07267306555089602,-0.15229563413939184,-0.296775023582649,-0.4479458984654066,-0.6828693052605506,-0.929238923924559,-1.1975928185306342
2.7070784497816596,0.17465778713390073,-0.06911038879214651,-0.14493978799423235,-0.2628453176568533,-0.3892297762157224,-0.596496943230223,-0.8095832207410777,-1.0499883141362985
2.7011806753812637,0.17948546142511326,-0.05664676010785897,-0.12496630555708681,-0.22892790647757583,-0.34778003079505415,-0.520137352501715,-0.7038817779544122,-0.9069565061585473
2.695308543478261,0.1833255205820765,-0.04788629815165364,-0.10576667579581936,-0.20205823699094932,-0.3042563128295667,-0.4603702454207331,-0.619298932990511,-0.7843477691591273
2.6894618872017353,0.18909281672782025,-0.04379900443296034,-0.09141384303177523,-0.18411046093607292,-0.27389378218768234,-0.41333837670421736,-0.5586772051821995,-0.7233386243150192
2.6836405411255413,0.19604680901466737,-0.03969661401198419,-0.08374161385604031,-0.17275764557760476,-0.25881533606964174,-0.38607513030515067,-0.5219128716798681,-0.677189382494717
2.6778443412526998,0.2043652952803212,-0.039282350922374115,-0.08407998931798519,-0.1647331895099209,-0.2458206794955796,-0.36937013844612165,-0.4964333629931797,-0.6411246371210305
2.6720731250000003,0.21384759523480928,-0.03604709473044922,-0.08394072545611121,-0.15903366741306582,-0.2334128502733675,-0.3482132753325694,-0.4710132622574948,-0.6062901193841806
2.666326731182796,0.22560704777884197,-0.05031740698020059,-0.0796083953248648,-0.14955530332158057,-0.22005828318054246,-0.3282734148715246,-0.4427616284426811,-0.5653192111793802
2.660605,0.24280559002684016,-0.04063464080578278,-0.07853323527324775,-0.1576206405412066,-0.20819396307372917,-0.31325443994963437,-0.41914680020863765,-0.5339039659571021
2.654907773019272,0.2606319382711303,-0.03434359397941108,-0.08056528677393436,-0.14877237840579333,-0.2120624541317394,-0.31870656000449515,-0.42444045213427006,-0.5376410062704368
2.6492348931623932,0.282895894212515,-0.033212782064170956,-0.08107108393368494,-0.14793618949987924,-0.214953648501304,-0.32780716134957444,-0.43425965962379953,-0.549080765120461
2.643586204690832,0.31029569417246117,-0.03640059168000163,-0.08391612037605309,-0.14763816064073174,-0.2150095352800879,-0.32472482877446474,-0.4279903403338516,-0.5418944318711627
2.6379615531914893,0.34361005753333,-0.03640626564768757,-0.08324381750569634,-0.15008297704217746,-0.21333122622005726,-0.3197597230691614,-0.4245659664391652,-0.5352149475777792
2.632360785562633,0.39215522488130716,-0.03504815809012831,-0.07884112206267953,-0.14311358750636158,-0.2113684892574786,-0.30833177076677787,-0.40821472818502064,-0.5180096236499673
2.62678375,0.45021613444237446,-0.032357249530454206,-0.07550520594130858,-0.13239940278945556,-0.19764187568574637,-0.2923966740893751,-0.3825132697918052,-0.4830376425067022
2.6212302959830867,0.5138636391572254,-0.02871463837610366,-0.07139542547105028,-0.12741321703951825,-0.18639105506670797,-0.27671069713303076,-0.35707582245909647,-0.4482870796918238
2.6157002742616036,0.611105963563756,-0.02702589957366125,-0.0527488156195583,-0.08357179612562417,-0.1425379244471861,-0.20519033554830707,-0.2648002046210596,-0.32672224135502764
2.610193536842105,0.7406440535187168,0.05690996859319338,0.044707066274296464,0.004819247865507227,-0.019276748204239334,0.019687296410009547,-0.04347467109639514,-0.14641193493201987
2.60470993697479,0.9167578059682882,0.05580751410082254,0.07922408279962027,0.11154036273009418,0.06408128282199939,0.16032846319803254,0.27602364296361953,0.26774812050178903
2.5992493291404615,1.1510395410984429,0.07095538012141846,0.1558286004852671,0.28877783116889577,0.39118136153392624,0.5647203706533523,0.836872296365504,1.0370045468449438
2.593811569037657,1.4257125569056346,0.24144487352566846,0.24417046977024884,0.4779815987516467,0.6828840850345449,1.0294122005620512,1.3936389827667166,1.7837199506309147
2.5883965135699376,1.690116681553095,0.18135776677207163,0.2536486973409376,0.47307286079691163,0.6747895962574944,1.0464645497343348,1.3791071762088185,1.7587161381850756
2.5830040208333336,1.8500377759184046,0.0774235626974876,0.11169884531585254,0.25291085421157267,0.34278443852139756,0.547416956007275,0.7452605720380163,0.9398614166950233
