Energy (eV),Absorption (OD),EA 20 kV/cm (mOD),EA 30 kV/cm (mOD),EA 40 kV/cm (mOD),EA 50 kV/cm (mOD),EA 60 kV/cm (mOD),EA 70 kV/cm (mOD)
2.7249273186813188,0.13950015969148588,-0.0331833101164986,-0.06607582486107257,-0.1232802594732055,-0.19323016601605936,-0.27378032601040003,-0.4140022675251768
2.718951600877193,0.1333856792216342,-0.02698385406050319,-0.05022915324146033,-0.10531201083942782,-0.16565697106964647,-0.23832825556962167,-0.34656106159217026
2.713002035010941,0.1363353916117227,-0.02178813576367587,-0.049602335163251854,-0.09532461818360793,-0.14452922393299664,-0.20531095384344075,-0.3016105891482573
2.7070784497816596,0.13543100303765537,-0.022779960346346488,-0.04670159335534311,-0.08622910671094447,-0.12814569702010653,-0.1811626872684993,-0.2685981317180013
2.7011806753812637,0.13435032121193152,-0.019930448936520906,-0.04090873952109457,-0.07611798343749139,-0.11051999557140346,-0.16351757335651732,-0.23930081394860597
2.695308543478261,0.13585663931900668,-0.017961419571149436,-0.03490554047458124,-0.06533575948206048,-0.1001118238300935,-0.14541074376116334,-0.21475358704727765
2.6894618872017353,0.14302022195087644,-0.016459828547174198,-0.03222969218328935,-0.06917067361145803,-0.09498515857091767,-0.13433733534320855,-0.19575348092617836
2.6836405411255413,0.14671720814356365,-0.01658855932032402,-0.031960871952115506,-0.05981748084451313,-0.09236296706254371,-0.12914044390707338,-0.18376193957539863
2.6778443412526998,0.14780589597167668,-0.016747431268370673,-0.034475794506794936,-0.0556716297022082,-0.08834300766793256,-0.12521124569601388,-0.1795068863886142
2.6720731250000003,0.15125099619965415,-0.013425463907445402,-0.03210393413340788,-0.0566190665940402,-0.08200890077222625,-0.11770973486092352,-0.1742244844186808
2.666326731182796,0.15601242734334966,-0.014273868753772758,-0.028732988710057472,-0.056190589352996534,-0.08179373331724527,-0.13633484497587764,-0.16636122682637233
2.660605,0.16444067283960676,-0.01286317103476548,-0.0289139592081983,-0.053819099191688174,-0.08269447392687794,-0.11922964310219937,-0.1626978684226532
2.654907773019272,0.1684447118474135,-0.014190110871923659,-0.031450915144049456,-0.05334339585903551,-0.08270544572865857,-0.11555091700750679,-0.16685299786689398
2.6492348931623932,0.17867366932187162,-0.017232836010790658,-0.030078966271213158,-0.054693708663899776,-0.08471236976055704,-0.12011448973458266,-0.1685560266759338
