Energy (eV),Electroabsorption (mOD) - 300.0 V,Electroabsorption (mOD) - 250.0 V,Electroabsorption (mOD) - 200.0 V,Electroabsorption (mOD) - 150.0 V,Electroabsorption (mOD) - 100.0 V
2.743362831858407,0.06416300238468041,0.08727214444464405,0.028659177122599067,0.04722554496964997,0.0196459966026424
2.7373068432671084,0.044259797464685516,0.0699329967801486,0.024652397316054845,-0.0004618467567972331,0.007399035128650584
2.7312775330396475,0.051461156453812475,0.03418531293542874,0.021283158919377675,0.012680037300940862,0.008125203929934663
2.7252747252747254,0.03901306609712542,0.0133452978544571,0.027221758940053378,0.03608060678268689,0.011779047822597486
2.719298245614035,0.10011745870049565,0.023290587018877547,0.02434278446118554,0.01734257469648738,0.007816641169876562
2.713347921225383,0.038775799453816984,0.011379270661146709,0.011589124652939741,0.005533616116153309,0.037383547577946145
2.7074235807860263,-0.009985010550645,-0.0022275217822702626,-0.010763436660089483,0.006253835465906808,0.013703699578752958
2.701525054466231,-0.03998707722399657,-0.02995389400965081,-0.023134355844425185,-0.011278955837143282,-0.0004900733413124371
2.6956521739130435,-0.07853040769247555,-0.060929123228726983,-0.03741177831948345,-0.020156709016710052,-0.014140927472515892
2.6898047722342735,-0.12312310236367503,-0.09531222733825091,-0.05434981766483431,-0.035536134344938096,-0.012276391256198707
2.683982683982684,-0.16048365089635228,-0.11496602939092991,-0.07303595869924749,-0.04286031011282064,-0.015579531748374684
2.678185745140389,-0.19108116319597238,-0.14095734339387977,-0.08931494996350879,-0.05168065407490608,-0.01716006702078718
2.6724137931034484,-0.22281818422504274,-0.15510366465543485,-0.10189659820233231,-0.05734473829383475,-0.027536976090251335
2.6666666666666665,-0.24279654420520982,-0.17220116683333053,-0.11026019156033234,-0.0712991302148302,-0.028542565045221707
2.6609442060085837,-0.2555439133267998,-0.17789175857810918,-0.11398517807449644,-0.07354518313703276,-0.023080553856242345
2.6552462526766596,-0.26017119232454894,-0.1772410806111119,-0.1156040037260956,-0.07300310712437143,-0.025665607880443406
2.6495726495726495,-0.25019979215116783,-0.1844925715963765,-0.11382674200212563,-0.07743643273081184,-0.026419000093011364
2.6439232409381663,-0.2470712974473271,-0.17818823254223182,-0.11591219243545789,-0.07328866915824546,-0.02295213744462004
2.6382978723404253,-0.23562101876457026,-0.16394997921895077,-0.1038734570773325,-0.06492291450092028,-0.019513025336997294
2.632696390658174,-0.2163490131324764,-0.15593989582115103,-0.1000248207473697,-0.05723087510295551,-0.031595585647885144
2.6271186440677967,-0.1936470423207181,-0.14123819156310632,-0.08859592195127793,-0.05513310184448434,-0.021838143556091812
2.6215644820295982,-0.17201584080740812,-0.1292795048634621,-0.08078076067763328,-0.04630007708757277,-0.00851606574029613
2.6160337552742616,-0.1325534985097844,-0.10674861506980127,-0.05854126047037189,-0.04715852668987726,-0.007239645332022939
